"Country","Biome","Year","NoFires","AreaBurned","NoLargeFires","AreaLarge"
"Alaska","6","2001","34","1006.25","1","206.25"
"Alaska","6","2002","1067","369618.75","103","344481.25"
"Alaska","6","2003","184","107168.75","22","101112.5"
"Alaska","6","2004","1809","940312.5","197","894318.75"
"Alaska","6","2005","2145","988018.75","190","934187.5"
"Alaska","6","2006","143","19156.25","10","14256.25"
"Alaska","6","2007","316","65006.25","28","57137.5"
"Alaska","6","2008","97","14625","14","11931.25"
"Alaska","6","2009","1046","588912.5","141","559362.5"
"Alaska","6","2010","951","116993.75","68","92175"
"Alaska","6","2011","101","4662.5","6","1956.25"
"Alaska","6","2012","325","48700","21","39187.5"
"Alaska","6","2013","1046","148593.75","74","120993.75"
"Alaska","6","2014","100","41006.25","12","38218.75"
"Alaska","6","2015","5744","952331.25","374","819331.25"
"Alaska","6","2016","364","81412.5","34","71650"
"Alaska","6","2017","269","103093.75","28","96612.5"
"Alaska","6","2018","361","51381.25","24","43312.5"
