"Country","Biome","Year","NoFires","AreaBurned","NoLargeFires","AreaLarge"
"Australia","10","2001","0","0","0","0"
"Australia","12","2001","1117","338887.5","100","315506.25"
"Australia","4","2001","193","35787.5","29","30800"
"Australia","8","2001","76","2218.75","3","1262.5"
"Australia","10","2002","4","100","0","0"
"Australia","12","2002","317","123468.75","48","116518.75"
"Australia","4","2002","1490","808831.25","234","767381.25"
"Australia","8","2002","77","10162.5","7","8850"
"Australia","10","2003","129","676593.75","17","674731.25"
"Australia","12","2003","1644","964368.75","135","929806.25"
"Australia","4","2003","1578","1654306.25","314","1612725"
"Australia","8","2003","121","36262.5","3","34012.5"
"Australia","10","2004","47","4112.5","7","2025"
"Australia","12","2004","499","83337.5","64","71987.5"
"Australia","4","2004","794","250993.75","161","227518.75"
"Australia","8","2004","209","7681.25","7","4231.25"
"Australia","10","2005","4","56.25","0","0"
"Australia","12","2005","1787","432531.25","171","396550"
"Australia","4","2005","1657","217118.75","193","175668.75"
"Australia","8","2005","149","3806.25","2","2006.25"
"Australia","10","2006","0","0","0","0"
"Australia","12","2006","595","186518.75","89","172256.25"
"Australia","4","2006","1014","261575","134","234525"
"Australia","8","2006","147","10262.5","5","8312.5"
"Australia","10","2007","113","166256.25","39","163975"
"Australia","12","2007","866","252575","110","232237.5"
"Australia","4","2007","1272","1153581.25","186","1117537.5"
"Australia","8","2007","82","195968.75","8","194893.75"
"Australia","10","2008","2","43.75","0","0"
"Australia","12","2008","597","315756.25","91","301218.75"
"Australia","4","2008","526","111337.5","97","93943.75"
"Australia","8","2008","68","3193.75","3","1962.5"
"Australia","10","2009","8","14712.5","3","14525"
"Australia","12","2009","469","108175","60","97425"
"Australia","4","2009","878","307693.75","85","282312.5"
"Australia","8","2009","38","2650","3","1918.75"
"Australia","10","2010","0","0","0","0"
"Australia","12","2010","1115","572275","112","546612.5"
"Australia","4","2010","1302","319006.25","217","279481.25"
"Australia","8","2010","69","6987.5","3","5750"
"Australia","10","2011","0","0","0","0"
"Australia","12","2011","322","114831.25","58","106631.25"
"Australia","4","2011","483","35568.75","21","27543.75"
"Australia","8","2011","190","3525","4","1437.5"
"Australia","10","2012","2","81.25","0","0"
"Australia","12","2012","392","142237.5","54","134950"
"Australia","4","2012","2177","151531.25","128","100212.5"
"Australia","8","2012","125","4468.75","4","2400"
"Australia","10","2013","14","21825","5","21181.25"
"Australia","12","2013","214","99293.75","34","94650"
"Australia","4","2013","1781","478293.75","253","428143.75"
"Australia","8","2013","254","53018.75","10","48168.75"
"Australia","10","2014","2","1587.5","1","1537.5"
"Australia","12","2014","891","156150","61","141275"
"Australia","4","2014","956","616712.5","184","588850"
"Australia","8","2014","86","14912.5","9","13156.25"
"Australia","10","2015","5","331.25","0","0"
"Australia","12","2015","646","245900","74","232043.75"
"Australia","4","2015","537","117818.75","92","101843.75"
"Australia","8","2015","112","31550","8","29318.75"
"Australia","10","2016","7","950","1","712.5"
"Australia","12","2016","579","454493.75","106","440456.25"
"Australia","4","2016","884","192056.25","95","168250"
"Australia","8","2016","188","24368.75","9","21825"
"Australia","10","2017","0","0","0","0"
"Australia","12","2017","855","142650","83","127431.25"
"Australia","4","2017","1066","221531.25","163","194956.25"
"Australia","8","2017","241","11812.5","7","8437.5"
"Australia","10","2018","5","5906.25","2","5731.25"
"Australia","12","2018","739","250081.25","88","235050"
"Australia","4","2018","513","136525","83","121943.75"
"Australia","8","2018","118","3600","4","1418.75"
