"Country","Biome","Year","NoFires","AreaBurned","NoLargeFires","AreaLarge"
"Canada","4","2001","14","1056.25","1","731.25"
"Canada","5","2001","127","16212.5","11","12075"
"Canada","6","2001","528","233675","125","218925"
"Canada","8","2001","442","21187.5","19","12418.75"
"Canada","4","2002","32","1425","2","518.75"
"Canada","5","2002","284","34837.5","32","25825"
"Canada","6","2002","1345","2232831.25","352","2198437.5"
"Canada","8","2002","432","45287.5","26","36762.5"
"Canada","4","2003","35","2662.5","4","1831.25"
"Canada","5","2003","462","250575","92","235031.25"
"Canada","6","2003","1117","1381937.5","285","1351193.75"
"Canada","8","2003","477","39518.75","27","29181.25"
"Canada","4","2004","29","1450","0","0"
"Canada","5","2004","435","88293.75","56","73493.75"
"Canada","6","2004","1616","1564962.5","396","1519093.75"
"Canada","8","2004","130","8131.25","11","5187.5"
"Canada","4","2005","32","20725","10","19918.75"
"Canada","5","2005","216","37306.25","34","29406.25"
"Canada","6","2005","1136","1244143.75","294","1209268.75"
"Canada","8","2005","468","9818.75","6","2618.75"
"Canada","4","2006","72","6250","6","3768.75"
"Canada","5","2006","222","127706.25","61","122162.5"
"Canada","6","2006","1223","1534718.75","304","1502581.25"
"Canada","8","2006","211","6837.5","5","3150"
"Canada","4","2007","26","55012.5","8","54268.75"
"Canada","5","2007","259","24243.75","29","15781.25"
"Canada","6","2007","896","1131131.25","237","1110625"
"Canada","8","2007","381","6968.75","3","1212.5"
"Canada","4","2008","33","3106.25","4","1556.25"
"Canada","5","2008","254","25225","30","16175"
"Canada","6","2008","919","1202025","248","1181525"
"Canada","8","2008","897","24181.25","22","7912.5"
"Canada","4","2009","46","3450","5","2031.25"
"Canada","5","2009","378","173962.5","79","161987.5"
"Canada","6","2009","650","328818.75","142","307606.25"
"Canada","8","2009","335","12000","14","5331.25"
"Canada","4","2010","74","147718.75","20","146200"
"Canada","5","2010","423","222475","67","207456.25"
"Canada","6","2010","1289","1924900","302","1890575"
"Canada","8","2010","339","8706.25","9","3875"
"Canada","4","2011","7","175","0","0"
"Canada","5","2011","245","26006.25","14","15756.25"
"Canada","6","2011","1108","1442562.5","259","1405600"
"Canada","8","2011","383","27550","19","20150"
"Canada","4","2012","53","50981.25","11","49687.5"
"Canada","5","2012","140","44918.75","22","40568.75"
"Canada","6","2012","1459","1251575","342","1209525"
"Canada","8","2012","507","61475","43","49975"
"Canada","4","2013","33","1850","2","487.5"
"Canada","5","2013","114","21225","19","16912.5"
"Canada","6","2013","2425","3421393.75","507","3359531.25"
"Canada","8","2013","293","12575","11","5893.75"
"Canada","4","2014","4","43.75","0","0"
"Canada","5","2014","207","294156.25","52","287687.5"
"Canada","6","2014","2377","2513568.75","446","2453381.25"
"Canada","8","2014","382","8056.25","5","1231.25"
"Canada","4","2015","46","5200","6","3318.75"
"Canada","5","2015","352","123325","64","112075"
"Canada","6","2015","2077","2527025","433","2470456.25"
"Canada","8","2015","328","18812.5","9","14343.75"
"Canada","4","2016","72","13831.25","14","11656.25"
"Canada","5","2016","158","80325","20","75387.5"
"Canada","6","2016","735","747437.5","172","731000"
"Canada","8","2016","314","15293.75","13","8400"
"Canada","4","2017","29","1518.75","3","1162.5"
"Canada","5","2017","495","941637.5","98","928700"
"Canada","6","2017","1503","1571831.25","340","1535068.75"
"Canada","8","2017","627","10050","4","1675"
"Canada","4","2018","83","44462.5","13","42581.25"
"Canada","5","2018","691","738093.75","150","715125"
"Canada","6","2018","825","810531.25","195","789281.25"
"Canada","8","2018","471","83675","30","72712.5"
