"Country","Biome","Year","NoFires","AreaBurned","NoLargeFires","AreaLarge"
"Chile","12","2001","47","1175","0","0"
"Chile","4","2001","12","993.75","1","481.25"
"Chile","12","2002","60","3418.75","5","2337.5"
"Chile","4","2002","65","35656.25","17","33725"
"Chile","12","2003","573","21387.5","18","9081.25"
"Chile","4","2003","79","3381.25","2","1062.5"
"Chile","12","2004","405","16725","10","7931.25"
"Chile","4","2004","142","7050","6","3262.5"
"Chile","12","2005","499","23812.5","19","11793.75"
"Chile","4","2005","131","14675","11","10562.5"
"Chile","12","2006","201","7312.5","7","2462.5"
"Chile","4","2006","153","12200","17","6075"
"Chile","12","2007","341","14650","10","5981.25"
"Chile","4","2007","93","27862.5","14","24512.5"
"Chile","12","2008","343","17368.75","8","9775"
"Chile","4","2008","174","34481.25","25","29525"
"Chile","12","2009","305","23143.75","17","16193.75"
"Chile","4","2009","152","21575","23","16812.5"
"Chile","12","2010","447","24531.25","20","13575"
"Chile","4","2010","64","12450","10","10775"
"Chile","12","2011","379","23443.75","22","14106.25"
"Chile","4","2011","148","17425","7","12987.5"
"Chile","12","2012","594","26556.25","19","12637.5"
"Chile","4","2012","174","43218.75","20","38187.5"
"Chile","12","2013","162","3887.5","3","693.75"
"Chile","4","2013","45","1962.5","1","1081.25"
"Chile","12","2014","544","38556.25","29","26881.25"
"Chile","4","2014","223","38962.5","22","32281.25"
"Chile","12","2015","829","41512.5","44","19593.75"
"Chile","4","2015","198","115187.5","35","107950"
"Chile","12","2016","420","12762.5","8","3250"
"Chile","4","2016","73","5406.25","6","3668.75"
"Chile","12","2017","653","95331.25","55","80181.25"
"Chile","4","2017","319","281862.5","39","275831.25"
"Chile","12","2018","354","14506.25","12","6568.75"
"Chile","4","2018","35","1612.5","0","0"
