"Country","Biome","Year","NoFires","AreaBurned","NoLargeFires","AreaLarge"
"China","10","2001","6","87.5","0","0"
"China","4","2001","1510","163981.25","123","130812.5"
"China","5","2001","317","20537.5","21","12831.25"
"China","8","2001","124","3781.25","4","2106.25"
"China","10","2002","33","643.75","0","0"
"China","4","2002","2197","122618.75","108","76993.75"
"China","5","2002","722","46062.5","31","26887.5"
"China","8","2002","267","16350","11","10531.25"
"China","10","2003","54","2381.25","2","1531.25"
"China","4","2003","4000","732950","337","638093.75"
"China","5","2003","1318","175575","121","141175"
"China","8","2003","374","36262.5","17","27425"
"China","10","2004","20","906.25","1","406.25"
"China","4","2004","2543","190825","195","126131.25"
"China","5","2004","230","13512.5","10","6143.75"
"China","8","2004","67","2675","1","425"
"China","10","2005","31","3112.5","2","2625"
"China","4","2005","2015","106725","107","61568.75"
"China","5","2005","337","15043.75","14","6256.25"
"China","8","2005","214","6762.5","5","2506.25"
"China","10","2006","13","318.75","0","0"
"China","4","2006","2071","112268.75","93","71918.75"
"China","5","2006","718","47068.75","52","26687.5"
"China","8","2006","453","24318.75","23","15425"
"China","10","2007","39","543.75","0","0"
"China","4","2007","2256","115350","128","69843.75"
"China","5","2007","536","29793.75","33","18281.25"
"China","8","2007","171","6912.5","7","2968.75"
"China","10","2008","12","462.5","1","293.75"
"China","4","2008","4085","339731.25","287","240725"
"China","5","2008","1944","278781.25","185","227468.75"
"China","8","2008","233","9637.5","10","3575"
"China","10","2009","50","2437.5","3","1581.25"
"China","4","2009","1701","151106.25","89","115325"
"China","5","2009","290","21318.75","25","12031.25"
"China","8","2009","313","17087.5","24","9643.75"
"China","10","2010","47","1875","3","1112.5"
"China","4","2010","1796","83681.25","89","44300"
"China","5","2010","370","42956.25","41","32843.75"
"China","8","2010","195","4350","2","693.75"
"China","10","2011","9","831.25","1","712.5"
"China","4","2011","1700","88475","75","52350"
"China","5","2011","801","49587.5","53","30331.25"
"China","8","2011","96","4312.5","6","1787.5"
"China","10","2012","60","868.75","0","0"
"China","4","2012","1899","50193.75","42","19256.25"
"China","5","2012","362","24187.5","31","15893.75"
"China","8","2012","71","2768.75","4","1293.75"
"China","10","2013","15","456.25","0","0"
"China","4","2013","1786","101506.25","107","61218.75"
"China","5","2013","394","41131.25","48","31012.5"
"China","8","2013","150","3675","1","718.75"
"China","10","2014","73","3887.5","5","1981.25"
"China","4","2014","2715","106256.25","119","57793.75"
"China","5","2014","638","73643.75","61","57018.75"
"China","8","2014","577","10387.5","10","3393.75"
"China","10","2015","13","212.5","0","0"
"China","4","2015","2025","88343.75","89","50875"
"China","5","2015","406","54650","40","44575"
"China","8","2015","553","8337.5","3","850"
"China","10","2016","14","587.5","1","306.25"
"China","4","2016","1675","122000","74","89243.75"
"China","5","2016","381","31912.5","26","23068.75"
"China","8","2016","150","3237.5","2","1043.75"
"China","10","2017","19","1268.75","1","731.25"
"China","4","2017","2771","96206.25","81","44281.25"
"China","5","2017","268","18068.75","22","11406.25"
"China","8","2017","267","4962.5","4","1000"
"China","10","2018","5","56.25","0","0"
"China","4","2018","884","104343.75","29","87518.75"
"China","5","2018","588","150687.5","48","136793.75"
"China","8","2018","120","5762.5","6","3562.5"
