"Country","Biome","Year","NoFires","AreaBurned","NoLargeFires","AreaLarge"
"Europe","12","2001","1330","107743.75","109","76518.75"
"Europe","4","2001","2529","82725","60","32500"
"Europe","12","2002","892","88475","85","65125"
"Europe","4","2002","948","59831.25","75","33837.5"
"Europe","12","2003","2015","432643.75","175","384762.5"
"Europe","4","2003","1201","61937.5","71","30168.75"
"Europe","12","2004","1151","130437.5","95","104956.25"
"Europe","4","2004","1349","58112.5","51","27018.75"
"Europe","12","2005","1228","274775","183","240662.5"
"Europe","4","2005","1325","197700","165","160875"
"Europe","12","2006","498","62075","64","50256.25"
"Europe","4","2006","1374","150300","123","117193.75"
"Europe","12","2007","2446","352587.5","248","291937.5"
"Europe","4","2007","1484","108162.5","122","68218.75"
"Europe","12","2008","1040","79025","62","54568.75"
"Europe","4","2008","1165","50025","52","20350"
"Europe","12","2009","1022","94806.25","98","70443.75"
"Europe","4","2009","988","56868.75","70","28406.25"
"Europe","12","2010","716","43531.25","52","28106.25"
"Europe","4","2010","898","89725","85","64137.5"
"Europe","12","2011","1443","99700","107","60400"
"Europe","4","2011","1543","97981.25","109","54337.5"
"Europe","12","2012","1757","274306.25","210","226175"
"Europe","4","2012","1813","145006.25","150","94787.5"
"Europe","12","2013","1080","78543.75","79","53550"
"Europe","4","2013","783","79768.75","73","57806.25"
"Europe","12","2014","626","35918.75","37","22506.25"
"Europe","4","2014","620","33137.5","31","15412.5"
"Europe","12","2015","815","70862.5","59","52268.75"
"Europe","4","2015","747","52393.75","53","31275"
"Europe","12","2016","898","90500","98","69793.75"
"Europe","4","2016","887","121237.5","95","100593.75"
"Europe","12","2017","1913","499056.25","242","443906.25"
"Europe","4","2017","1588","210337.5","156","165481.25"
"Europe","12","2018","312","52331.25","22","46956.25"
"Europe","4","2018","464","17625","17","7037.5"
