"Country","Biome","Year","NoFires","AreaBurned","NoLargeFires","AreaLarge"
"Russia","10","2001","18","1462.5","3","906.25"
"Russia","4","2001","9290","869250","388","693850"
"Russia","5","2001","873","89768.75","77","66856.25"
"Russia","6","2001","6707","2161600","813","1995025"
"Russia","8","2001","11753","270356.25","133","101481.25"
"Russia","10","2002","69","7893.75","13","6387.5"
"Russia","4","2002","16901","1385718.75","805","1036193.75"
"Russia","5","2002","2272","785493.75","356","722993.75"
"Russia","6","2002","8768","4492068.75","1177","4237275"
"Russia","8","2002","12388","539443.75","340","334550"
"Russia","10","2003","117","15556.25","21","12650"
"Russia","4","2003","12375","1765437.5","900","1474762.5"
"Russia","5","2003","1617","787668.75","272","740937.5"
"Russia","6","2003","28791","7261093.75","3438","6518206.25"
"Russia","8","2003","15114","1106318.75","730","797350"
"Russia","10","2004","0","0","0","0"
"Russia","4","2004","13645","1563037.5","576","1290262.5"
"Russia","5","2004","232","17881.25","19","11612.5"
"Russia","6","2004","7220","1831631.25","966","1625706.25"
"Russia","8","2004","15175","758356.25","404","477006.25"
"Russia","10","2005","8","112.5","0","0"
"Russia","4","2005","13269","1223531.25","566","952006.25"
"Russia","5","2005","786","60868.75","63","40456.25"
"Russia","6","2005","10931","1690987.5","1240","1404137.5"
"Russia","8","2005","16187","482981.25","343","196725"
"Russia","10","2006","8","93.75","0","0"
"Russia","4","2006","23157","1406912.5","836","921825"
"Russia","5","2006","775","79106.25","86","56462.5"
"Russia","6","2006","12658","2437593.75","1482","2098668.75"
"Russia","8","2006","21104","882400","613","482537.5"
"Russia","10","2007","24","3887.5","3","3000"
"Russia","4","2007","10850","711993.75","530","487662.5"
"Russia","5","2007","1803","255062.5","172","204156.25"
"Russia","6","2007","8688","1167281.25","969","936437.5"
"Russia","8","2007","15831","825025","603","529612.5"
"Russia","10","2008","38","3612.5","7","2850"
"Russia","4","2008","32250","4062337.5","1650","3385825"
"Russia","5","2008","2709","1095906.25","409","1029656.25"
"Russia","6","2008","15900","3560481.25","1972","3155331.25"
"Russia","8","2008","34877","1381468.75","894","729412.5"
"Russia","10","2009","16","443.75","0","0"
"Russia","4","2009","32368","1786687.5","1104","1117325"
"Russia","5","2009","896","100168.75","84","75256.25"
"Russia","6","2009","9967","2031518.75","1072","1773418.75"
"Russia","8","2009","14153","608700","498","341343.75"
"Russia","10","2010","16","6268.75","7","6031.25"
"Russia","4","2010","13381","1797987.5","1017","1479412.5"
"Russia","5","2010","512","126181.25","71","111568.75"
"Russia","6","2010","7375","1870112.5","939","1661337.5"
"Russia","8","2010","12521","713018.75","510","463693.75"
"Russia","10","2011","52","5312.5","6","4318.75"
"Russia","4","2011","10057","1543131.25","904","1300793.75"
"Russia","5","2011","1487","356112.5","161","315862.5"
"Russia","6","2011","16656","3518706.25","2064","3076856.25"
"Russia","8","2011","11851","916737.5","718","643706.25"
"Russia","10","2012","23","1868.75","4","1293.75"
"Russia","4","2012","8501","1280243.75","757","1084700"
"Russia","5","2012","2102","485962.5","285","422650"
"Russia","6","2012","16947","7114312.5","2813","6619268.75"
"Russia","8","2012","12219","574087.5","380","340743.75"
"Russia","10","2013","9","375","0","0"
"Russia","4","2013","5559","764918.75","468","629925"
"Russia","5","2013","993","509500","124","483737.5"
"Russia","6","2013","8592","3059343.75","1265","2815193.75"
"Russia","8","2013","3161","142787.5","130","80562.5"
"Russia","10","2014","29","1662.5","2","1037.5"
"Russia","4","2014","15940","1496431.25","927","1147168.75"
"Russia","5","2014","1227","218237.5","171","183631.25"
"Russia","6","2014","14883","4852962.5","1802","4473468.75"
"Russia","8","2014","17316","1335012.5","780","983800"
"Russia","10","2015","32","2500","3","1575"
"Russia","4","2015","7324","440600","357","273206.25"
"Russia","5","2015","919","380475","154","357081.25"
"Russia","6","2015","9213","2409825","1198","2172925"
"Russia","8","2015","10488","577456.25","410","371650"
"Russia","10","2016","3","43.75","0","0"
"Russia","4","2016","6624","1019987.5","432","864300"
"Russia","5","2016","737","175043.75","94","152837.5"
"Russia","6","2016","9515","3869281.25","1393","3594487.5"
"Russia","8","2016","5213","254500","216","152050"
"Russia","10","2017","12","2550","4","2443.75"
"Russia","4","2017","4753","536587.5","326","434393.75"
"Russia","5","2017","575","158981.25","113","146262.5"
"Russia","6","2017","7117","3034350","1107","2843725"
"Russia","8","2017","7439","405950","275","258418.75"
"Russia","10","2018","16","431.25","0","0"
"Russia","4","2018","12527","2504862.5","1197","2188350"
"Russia","5","2018","1394","727056.25","205","688737.5"
"Russia","6","2018","7366","4270837.5","1101","4062562.5"
"Russia","8","2018","5769","317081.25","240","198025"
