"Country","Biome","Year","NoFires","AreaBurned","NoLargeFires","AreaLarge"
"USA","12","2001","69","15450","10","14093.75"
"USA","4","2001","847","79731.25","88","55531.25"
"USA","5","2001","1437","242143.75","193","200443.75"
"USA","8","2001","721","23956.25","19","9306.25"
"USA","12","2002","234","45931.25","29","40512.5"
"USA","4","2002","816","44012.5","43","23368.75"
"USA","5","2002","2175","778756.25","239","714612.5"
"USA","8","2002","1055","42150","41","21606.25"
"USA","12","2003","607","129800","44","118450"
"USA","4","2003","2333","146362.5","123","87193.75"
"USA","5","2003","2346","543162.5","357","471137.5"
"USA","8","2003","2680","109243.75","89","55156.25"
"USA","12","2004","156","29962.5","18","26943.75"
"USA","4","2004","2258","163943.75","154","109950"
"USA","5","2004","2341","369031.25","315","294268.75"
"USA","8","2004","1358","53068.75","63","24931.25"
"USA","12","2005","158","9850","14","6987.5"
"USA","4","2005","1898","130806.25","126","84800"
"USA","5","2005","2628","317181.25","274","235668.75"
"USA","8","2005","2379","94056.25","85","48031.25"
"USA","12","2006","403","82368.75","20","74193.75"
"USA","4","2006","1889","126806.25","123","79925"
"USA","5","2006","3213","655781.25","444","556062.5"
"USA","8","2006","2931","122612.5","93","64593.75"
"USA","12","2007","545","182275","50","170662.5"
"USA","4","2007","2071","127556.25","143","75262.5"
"USA","5","2007","3159","1102368.75","452","1009287.5"
"USA","8","2007","1529","66743.75","35","36600"
"USA","12","2008","210","148268.75","23","144000"
"USA","4","2008","2343","168237.5","143","108056.25"
"USA","5","2008","2620","560350","427","474368.75"
"USA","8","2008","2742","77231.25","46","23450"
"USA","12","2009","205","103500","21","99250"
"USA","4","2009","1310","127293.75","115","92256.25"
"USA","5","2009","2409","349625","372","270281.25"
"USA","8","2009","4002","146768.75","128","65562.5"
"USA","12","2010","88","5581.25","9","3200"
"USA","4","2010","3006","170325","154","108156.25"
"USA","5","2010","2463","282918.75","336","207325"
"USA","8","2010","1800","39856.25","25","8593.75"
"USA","12","2011","60","2781.25","2","1037.5"
"USA","4","2011","2889","249037.5","184","179318.75"
"USA","5","2011","2538","779175","375","694343.75"
"USA","8","2011","3944","194043.75","133","110668.75"
"USA","12","2012","110","25637.5","11","23275"
"USA","4","2012","1346","105337.5","89","71218.75"
"USA","5","2012","3099","937731.25","386","846031.25"
"USA","8","2012","2218","171537.5","103","126781.25"
"USA","12","2013","143","32912.5","18","30312.5"
"USA","4","2013","1689","109618.75","106","69000"
"USA","5","2013","3587","688543.75","418","577612.5"
"USA","8","2013","814","30087.5","23","13406.25"
"USA","12","2014","71","11706.25","13","10412.5"
"USA","4","2014","1861","117250","120","66750"
"USA","5","2014","3034","514000","352","423006.25"
"USA","8","2014","3093","113368.75","104","50187.5"
"USA","12","2015","127","83881.25","21","80900"
"USA","4","2015","3315","132418.75","107","59368.75"
"USA","5","2015","2675","853950","414","775431.25"
"USA","8","2015","1820","68818.75","61","29200"
"USA","12","2016","169","116250","27","112825"
"USA","4","2016","2420","183193.75","165","123262.5"
"USA","5","2016","3122","514543.75","370","414981.25"
"USA","8","2016","3096","96543.75","76","32175"
"USA","12","2017","310","193600","28","186893.75"
"USA","4","2017","2047","130581.25","132","75143.75"
"USA","5","2017","3070","963543.75","479","864362.5"
"USA","8","2017","1805","72012.5","64","36962.5"
"USA","12","2018","180","203262.5","23","200137.5"
"USA","4","2018","1353","97368.75","104","61681.25"
"USA","5","2018","3075","969543.75","420","874400"
"USA","8","2018","2607","110950","113","55750"
