Country,Biome,ForestArea
Australia,10,1115481.25
Australia,12,12912018.75
Australia,4,27888068.75
Australia,8,2429162.5
USA,12,4153625
USA,4,161084768.8
USA,5,106782793.8
USA,8,25800031.25
Canada,4,55947081.25
Canada,5,64650231.25
Canada,6,362556431.3
Canada,8,15843506.25
Europe,12,40725925
Europe,4,52382275
China,10,6015812.5
China,4,75011268.75
China,5,29731631.25
China,8,3155825
Chile,12,2700162.5
Chile,4,15879518.75
Alaska,6,39338043.75
Russia,10,3822131.25
Russia,4,102019343.8
Russia,5,35375125
Russia,6,727751887.5
Russia,8,35582018.75
