"Country","BiomeName","Period2","NoSamples","MW_pvalue","TT_pvalue","pvalueGT"
"Australia","Temperate Broadleaf and Mixed Forests",1,989,8.89004925954852e-09,1.46374827276253e-07,TRUE
"Australia","Temperate Broadleaf and Mixed Forests",2,607,0.00233687091700573,0.00478985042366176,TRUE
"Australia","Temperate Broadleaf and Mixed Forests",3,910,0.00566231872728864,2.77024371769473e-05,TRUE
"Australia","Temperate Broadleaf and Mixed Forests",4,387,0.11994930614223,0.89282558594876,FALSE
"Australia","Temperate Broadleaf and Mixed Forests",5,0,0,0,TRUE
"Australia","Temperate Broadleaf and Mixed Forests",6,0,0,0,TRUE
"Australia","Temperate Grasslands, Savannas, and Shrublands",1,959,6.33661125503782e-34,9.52067287436943e-21,TRUE
"Australia","Temperate Grasslands, Savannas, and Shrublands",2,592,8.70622496900749e-23,2.23520946599484e-08,TRUE
"Australia","Temperate Grasslands, Savannas, and Shrublands",3,745,3.0632519622923e-21,1.78296141248572e-19,TRUE
"Australia","Temperate Grasslands, Savannas, and Shrublands",4,323,4.93138072659717e-09,9.99792407867204e-07,TRUE
"Australia","Temperate Grasslands, Savannas, and Shrublands",5,0,0,0,TRUE
"Australia","Temperate Grasslands, Savannas, and Shrublands",6,0,0,0,TRUE
"Australia","Montane Grasslands and Shrublands",1,466,1.93888099223886e-20,2.89757538555199e-22,TRUE
"Australia","Montane Grasslands and Shrublands",2,205,1.64728377445007e-22,6.36861522715712e-26,TRUE
"Australia","Montane Grasslands and Shrublands",3,777,5.68492558396598e-28,6.1422504832782e-29,TRUE
"Australia","Montane Grasslands and Shrublands",4,1,0,0,TRUE
"Australia","Montane Grasslands and Shrublands",5,0,0,0,TRUE
"Australia","Montane Grasslands and Shrublands",6,0,0,0,TRUE
"Australia","Mediterranean Forests, Woodlands, and Scrub",1,1066,1.03839613416434e-105,2.43556330180697e-95,TRUE
"Australia","Mediterranean Forests, Woodlands, and Scrub",2,890,0.00102087844294319,4.4688754031547e-06,TRUE
"Australia","Mediterranean Forests, Woodlands, and Scrub",3,1009,1.48100161856987e-09,1.7818580508215e-10,TRUE
"Australia","Mediterranean Forests, Woodlands, and Scrub",4,1054,6.28698746178649e-41,1.90805987546059e-38,TRUE
"Australia","Mediterranean Forests, Woodlands, and Scrub",5,0,0,0,TRUE
"Australia","Mediterranean Forests, Woodlands, and Scrub",6,0,0,0,TRUE
"China","Temperate Broadleaf and Mixed Forests",1,358,0.335509352924852,0.018767924437335,FALSE
"China","Temperate Broadleaf and Mixed Forests",2,258,0.000398675026496574,0.000441225639201733,TRUE
"China","Temperate Broadleaf and Mixed Forests",3,219,0.00858320014206354,0.0149713020132961,TRUE
"China","Temperate Broadleaf and Mixed Forests",4,184,4.71734168519944e-09,1.28107270260191e-09,TRUE
"China","Temperate Broadleaf and Mixed Forests",5,0,0,0,TRUE
"China","Temperate Broadleaf and Mixed Forests",6,0,0,0,TRUE
"China","Temperate Coniferous Forests",1,496,0.478529177742387,0.635707509375142,FALSE
"China","Temperate Coniferous Forests",2,299,0.317233352464828,0.208259525514219,FALSE
"China","Temperate Coniferous Forests",3,478,3.64967248202404e-11,9.953170689868e-10,TRUE
"China","Temperate Coniferous Forests",4,457,1.33714744642683e-07,4.06373643319095e-07,TRUE
"China","Temperate Coniferous Forests",5,0,0,0,TRUE
"China","Temperate Coniferous Forests",6,0,0,0,TRUE
"China","Temperate Grasslands, Savannas, and Shrublands",1,185,2.56667422702358e-07,3.17978009465395e-06,TRUE
"China","Temperate Grasslands, Savannas, and Shrublands",2,167,6.2408768526268e-09,1.05686957499465e-08,TRUE
"China","Temperate Grasslands, Savannas, and Shrublands",3,256,7.72135098231449e-09,4.34486741415862e-07,TRUE
"China","Temperate Grasslands, Savannas, and Shrublands",4,119,2.86480405944378e-22,2.16022304637785e-27,TRUE
"China","Temperate Grasslands, Savannas, and Shrublands",5,0,0,0,TRUE
"China","Temperate Grasslands, Savannas, and Shrublands",6,0,0,0,TRUE
"China","Montane Grasslands and Shrublands",1,140,7.85642602901008e-17,5.25991746106521e-16,TRUE
"China","Montane Grasslands and Shrublands",2,319,0.00480454301055963,0.00368865605613846,TRUE
"China","Montane Grasslands and Shrublands",3,182,0.00218278324299282,0.00252387124656148,TRUE
"China","Montane Grasslands and Shrublands",4,162,2.52187748378162e-11,3.56619559814973e-09,TRUE
"China","Montane Grasslands and Shrublands",5,0,0,0,TRUE
"China","Montane Grasslands and Shrublands",6,0,0,0,TRUE
"USA","Temperate Broadleaf and Mixed Forests",1,260,0.00645377068506913,0.00723407719751718,TRUE
"USA","Temperate Broadleaf and Mixed Forests",2,272,0.00017531791720212,0.000814296297938551,TRUE
"USA","Temperate Broadleaf and Mixed Forests",3,245,0.0196836252595418,0.0622394323085994,TRUE
"USA","Temperate Broadleaf and Mixed Forests",4,388,0.000672120503890114,0.000141226034652189,TRUE
"USA","Temperate Broadleaf and Mixed Forests",5,0,0,0,TRUE
"USA","Temperate Broadleaf and Mixed Forests",6,0,0,0,TRUE
"USA","Temperate Coniferous Forests",1,865,1.22202747469709e-08,8.06945638573789e-11,TRUE
"USA","Temperate Coniferous Forests",2,574,0.00611538292718327,0.00590147348594018,TRUE
"USA","Temperate Coniferous Forests",3,697,0.308419277691462,0.384224014221023,FALSE
"USA","Temperate Coniferous Forests",4,734,4.5740656651463e-22,3.19831873454619e-22,TRUE
"USA","Temperate Coniferous Forests",5,0,0,0,TRUE
"USA","Temperate Coniferous Forests",6,0,0,0,TRUE
